activity_index,br,hr,infrared_perf,sleep_classes,temp,time
10,14.7395313323397,56.4331813235647,684,4,3163,1485381487
10,14.7183009692432,56.4500019348806,661,4,3165,1485381498
11,14.6971523890747,56.2621007873274,638,4,3165,1485381508
11,14.6750552097005,56.2305041300501,616,4,3165,1485381518
11,14.6514606510422,56.239723351534,596,4,3165,1485381528
11,14.6275433576497,56.058382157438,577,4,3165,1485381538
10,14.6054228231109,55.7914584845282,561,4,3166,1485381548
12,14.5839732830497,55.5685912162169,547,4,3171,1485381558
11,14.5650541801527,55.3433340552011,533,4,3181,1485381568
10,14.5506230399594,54.8845875302867,524,4,3186,1485381578
10,14.5371592038187,54.4298425519839,520,4,3187,1485381588
11,14.5344664365906,54.4853993175601,518,4,3188,1485381598
12,14.5344664365906,55.208370484022,518,4,3188,1485381608
11,14.5348464830596,55.8988486112325,517,4,3188,1485381618
11,14.5454034866953,55.3065785702861,511,4,3188,1485381628
12,14.5584809767183,53.7900403214492,504,4,3188,1485381638
11,14.5790573559451,52.5293349078919,501,4,3189,1485381648
11,14.6024341649656,52.253086132868,501,4,3190,1485381658
9,14.6263411263135,53.197375255821,502,4,3194,1485381668
10,14.6507897731817,53.8867620446112,504,4,3200,1485381678
10,14.6753551710892,53.9631025708879,507,4,3208,1485381688
19,14.6952309822409,54.1689196866653,506,4,3209,1485381699
13,14.7109740834702,54.3864219399932,567,4,3211,1485381709
10,14.7216215507887,54.8477034135841,673,4,3212,1485381719
10,14.7226307684475,55.0575047326051,699,4,3212,1485381729
10,14.7226307684475,54.9299953214473,688,4,3212,1485381739
9,14.7155116429798,54.8413425703892,673,4,3212,1485381749
11,14.70371214883,54.6121036084828,659,4,3212,1485381759
10,14.6886619468789,54.1577067315702,646,4,3212,1485381769
11,14.6688922761893,53.7370018742811,633,4,3212,1485381779
10,14.6486330170876,53.6683052671145,622,4,3212,1485381789
9,14.6287604471411,53.6980509654682,611,4,3215,1485381799
11,14.6089785771677,53.5944029750139,602,4,3223,1485381809
10,14.5921841103191,53.4321924401021,595,4,3228,1485381819
10,14.580382942052,52.9062529349237,591,4,3233,1485381829
11,14.5716889218574,53.1746039241693,587,4,3232,1485381839
11,14.5708482882064,54.6145542381699,583,4,3235,1485381849
11,14.5708482882064,56.183683816046,579,4,3235,1485381859
10,14.5774136056038,57.1882566982378,571,4,3235,1485381869
12,14.5919076682758,57.3534853154213,558,4,3235,1485381879
11,14.6072016493437,56.8803920902151,549,4,3235,1485381889
12,14.6307610779059,55.9165638548266,545,4,3235,1485381900
10,14.6536226260993,55.1598386027897,543,4,3235,1485381910
11,14.6768750362462,54.0950760832532,541,4,3235,1485381920
10,14.7007384834684,53.4689041918417,542,4,3238,1485381930
11,14.7246019306907,53.3985187953373,542,4,3240,1485381940
11,14.7447712985787,53.2154168628616,539,4,3247,1485381950
9,14.7644846606775,53.095327521615,536,4,3252,1485381960
10,14.781083117871,53.2251085576687,533,4,3256,1485381970
11,14.7928120333978,53.5270576586209,528,4,3258,1485381980
9,14.8045409489247,53.4551872493074,522,4,3258,1485381990
11,14.8070554827713,53.1617274192888,519,4,3258,1485382000
10,14.8070554827713,52.7335800027037,519,4,3259,1485382010
10,14.8070554827713,52.4449944264466,519,4,3259,1485382020
12,14.7989677061553,52.9368023574968,519,4,3259,1485382030
10,14.7908799295393,53.8797833990839,517,4,3259,1485382040
9,14.7750856614813,54.8344520006148,517,4,3259,1485382050
11,14.7583400953791,55.2603864300264,517,4,3260,1485382060
12,14.7389398429008,54.6809721258294,518,4,3261,1485382070
11,14.7153895266174,54.1030571002154,519,4,3263,1485382080
12,14.691839210334,54.3982359124245,519,4,3270,1485382090
11,14.6624843116221,54.3769644471965,515,4,3276,1485382101
11,14.6354733074731,53.6652604701686,515,4,3280,1485382111
12,14.6087081622093,53.0113184695565,516,4,3281,1485382121
12,14.5822704855955,53.3566903989024,520,4,3281,1485382131
11,14.5561706141787,54.7681792679936,527,4,3282,1485382141
11,14.5331526881849,55.5526888505803,532,4,3282,1485382151
11,14.510735876013,54.7856207077343,537,4,3282,1485382161
11,14.49070452928,53.4266577237008,543,4,3282,1485382171
11,14.4738504678114,52.6567305956316,552,4,3282,1485382181
11,14.4575563510132,52.4612892749262,560,4,3282,1485382191
11,14.4463708554429,53.0923537862606,570,4,3282,1485382201
12,14.4360215396434,54.6311977542784,577,4,3283,1485382211
10,14.4279338979482,55.5286607629256,580,4,3283,1485382221
13,14.4228586543439,55.399190821454,579,4,3287,1485382231
